Country,Year,States Or Uts Or Other,Type Of Residence ,"Number Of Persons Below Poverty Line (UOM:Number), Scaling Factor:1000","Percentage Of The Persons Below The Poverty Line (UOM:%(Percentage)), Scaling Factor:1","Poverty Line (UOM:INR(IndianRupees)), Scaling Factor:1"
India,"Financial Year (Apr - Mar), 2011",All India,Rural,216658,25.7,816
India,"Financial Year (Apr - Mar), 2011",All India,Urban,53125,13.7,1000
India,"Financial Year (Apr - Mar), 2011",All India,Combined,269783,21.92,
India,"Financial Year (Apr - Mar), 2011",Andaman & Nicobar Islands,Rural,4,1.57,
India,"Financial Year (Apr - Mar), 2011",Andaman & Nicobar Islands,Urban,,,
India,"Financial Year (Apr - Mar), 2011",Andaman & Nicobar Islands,Combined,4,1,
India,"Financial Year (Apr - Mar), 2011",Andhra Pradesh,Rural,6180,10.96,860
India,"Financial Year (Apr - Mar), 2011",Andhra Pradesh,Urban,1698,5.81,1009
India,"Financial Year (Apr - Mar), 2011",Andhra Pradesh,Combined,7878,9.2,
India,"Financial Year (Apr - Mar), 2011",Arunachal Pradesh,Rural,425,38.93,930
India,"Financial Year (Apr - Mar), 2011",Arunachal Pradesh,Urban,66,20.33,1060
India,"Financial Year (Apr - Mar), 2011",Arunachal Pradesh,Combined,491,34.67,
India,"Financial Year (Apr - Mar), 2011",Assam,Rural,9206,33.89,828
India,"Financial Year (Apr - Mar), 2011",Assam,Urban,921,20.49,1008
India,"Financial Year (Apr - Mar), 2011",Assam,Combined,10127,31.98,
India,"Financial Year (Apr - Mar), 2011",Bihar,Rural,32040,34.06,778
India,"Financial Year (Apr - Mar), 2011",Bihar,Urban,3775,31.23,923
India,"Financial Year (Apr - Mar), 2011",Bihar,Combined,35815,33.74,
India,"Financial Year (Apr - Mar), 2011",Chandigarh,Rural,,1.64,
India,"Financial Year (Apr - Mar), 2011",Chandigarh,Urban,234,22.31,
India,"Financial Year (Apr - Mar), 2011",Chandigarh,Combined,235,21.81,
India,"Financial Year (Apr - Mar), 2011",Chhattisgarh,Rural,8890,44.61,738
India,"Financial Year (Apr - Mar), 2011",Chhattisgarh,Urban,1522,24.75,849
India,"Financial Year (Apr - Mar), 2011",Chhattisgarh,Combined,10411,39.93,
India,"Financial Year (Apr - Mar), 2011",Dadra & Nagar Haveli,Rural,115,62.59,
India,"Financial Year (Apr - Mar), 2011",Dadra & Nagar Haveli,Urban,28,15.38,
India,"Financial Year (Apr - Mar), 2011",Dadra & Nagar Haveli,Combined,143,39.31,
India,"Financial Year (Apr - Mar), 2011",Daman & Diu,Rural,0,0,
India,"Financial Year (Apr - Mar), 2011",Daman & Diu,Urban,26,12.62,
India,"Financial Year (Apr - Mar), 2011",Daman & Diu,Combined,26,9.86,
India,"Financial Year (Apr - Mar), 2011",Delhi,Rural,50,12.92,1145
India,"Financial Year (Apr - Mar), 2011",Delhi,Urban,1646,9.84,1134
India,"Financial Year (Apr - Mar), 2011",Delhi,Combined,1696,9.91,
India,"Financial Year (Apr - Mar), 2011",Goa,Rural,37,6.81,1090
India,"Financial Year (Apr - Mar), 2011",Goa,Urban,38,4.09,1134
India,"Financial Year (Apr - Mar), 2011",Goa,Combined,75,5.09,
India,"Financial Year (Apr - Mar), 2011",Gujarat,Rural,7535,21.54,932
India,"Financial Year (Apr - Mar), 2011",Gujarat,Urban,2688,10.14,1152
India,"Financial Year (Apr - Mar), 2011",Gujarat,Combined,10223,16.63,
India,"Financial Year (Apr - Mar), 2011",Haryana,Rural,1942,11.64,1015
India,"Financial Year (Apr - Mar), 2011",Haryana,Urban,941,10.28,1169
India,"Financial Year (Apr - Mar), 2011",Haryana,Combined,2883,11.16,
India,"Financial Year (Apr - Mar), 2011",Himachal Pradesh,Rural,529,8.48,913
India,"Financial Year (Apr - Mar), 2011",Himachal Pradesh,Urban,30,4.33,1064
India,"Financial Year (Apr - Mar), 2011",Himachal Pradesh,Combined,559,8.06,
India,"Financial Year (Apr - Mar), 2011",Jammu & Kashmir,Rural,1073,11.54,891
